ripgrep,ripgrep,Line oriented search tool (grep improved)
rover,rover,Simple file browser for the terminal (AUR)
slack,slack-desktop,Slack Desktop (Beta) for Linux
sql,litecli,Command line interface for SQLite (AUR)
sql,mariadb,Implementation of Mysql
sql,mycli,Command line interface for MySQL (AUR)
sql,pgcli,Command line interface for PostgreSQL (AUR)
sql,postgresql,Implementation of PostgreSQL
syncthing,syncthing,Syncing files between devices
thunderbird,thunderbird,Thunderbird
tmux,tmuxp,Configure tmux session + windows + panes via config files
tmux,tmux,Terminal multiplexer
tools,arandr,xrandr GUI
tools,arping-th,ARP Ping from Thomas Habets (aka Debian arping)
tools,atuin,Magical shell history
tools,bat,Cat clone with syntax highlighting and git integration
tools,bc,Calculator
tools,bcc-tools,BPF Compiler Collection - Tools
tools,bcwc-pcie-git,Reverse engineered Linux driver for the Broadcom 1570 PCIe webcam.
tools,bind,A complete, highly portable implementation of the DNS protocol
tools,bluez-utils,Development and debugging utilities for the bluetooth protocol stack
tools,boxes,Draw ASCII boxes in terminal - ESSENTIAL! (AUR)
tools,bpftrace,High-level tracing language for Linux eBPF
tools,bpytop,Resource monitor that shows usage and stats for processor, memory, disks, network and processes
tools,broadcom-wl-dkms,Broadcom 802.11 Linux STA wireless driver
tools,cnijfilter-ts7450series,Canon IJ Printer Driver for Linux for Pixma 7450 series and other based on 6.10 version
tools,cups,OpenPrinting CUPS - daemon package
tools,deepin-printer,Printer configuration project for DDE
tools,dialog,A tool to display dialog boxes from shell scripts
tools,downgrade,Utility to downgrade Arch packages (AUR)
tools,duf,Disk analyzer
tools,fd,Simple, fast and user-friendly alternative to find
tools,file,File type identification utility
tools,findutils,GNU utilities to locate files
tools,flameshot,Powerful yet simple to use screenshot software
tools,fortune-mod,The Fortune Cookie Program from BSD games
tools,fzf,Command line fuzzy finder
tools,gawk,GNU version of awk
tools,github-cli,The GitHub CLI
tools,glow,Command-line markdown renderer
tools,gnu-netcat,GNU rewrite of netcat, the network piping application
tools,gparted,Partitioning tool
tools,graphviz,Graph visualization software
tools,gzip,GNU compression utility
tools,handlr-bin,Powerful alternative to xdg-utils written in Rust
tools,htop,Interactive process viewer
tools,httpie,a CLI cURL-like tool for humans
tools,imagemagick,Convert edit or compose images
tools,irssi,Modular text mode IRC client with Perl scripting
tools,jq,Command-line JSON processor
tools,libbpf,Library for loading eBPF programs and reading and manipulating eBPF objects from user-space
tools,libvirt,API for controlling virtualization engines (openvz,kvm,qemu,virtualbox,xen,etc)
tools,lsdesktopf,List available *.desktop files and search in their content.
tools,lxappearance,Theme switcher of LXDE
tools,ncdu,Disk usage analyzer with an ncurses interface
tools,neofetch,Get system specs
tools,nerd-fonts-git,Iconic font aggregator, collection, and patcher
tools,ninja,Small build system with a focus on speed
tools,noto-fonts-cjk,Fonts for asian display
tools,noto-fonts-emoji,Fonts for emojis
tools,ntfs-3g,Filesystem
tools,numlockx,Keylock manager
tools,pacleaner,Script to clean up pacman cache in a more flexible way than with paccache or pacman itself. Fully configurable and flexible
tools,pandoc-cli,Conversion between documentation formats
tools,peek,Simple screen recorder with an easy to use interface
tools,picom,Compositor for X - manage transparency
tools,polkit,Control system wide privilege
tools,pv,Display progress bar through pipeline
tools,python-bcc,BPF Compiler Collection - Python 3 bindings
tools,qemu-base,A basic QEMU setup for headless environments
tools,qtkeychain,Qt API to store passwords
tools,redshift,Adjust color of screen
tools,rsync,Tool for transferring and synchronizing files across computer systems
tools,scrot,Screenshot software for i3lock
tools,sed,GNU stream editor
tools,shellcheck,Shell script analysis tool
tools,simple-mtpfs,Can mount MTP filesystems (thanks Android) (AUR)
tools,strace,A diagnostic, debugging and instructional userspace tracer
tools,system-config-printer,A CUPS printer configuration tool and status applet
tools,sysz,Use fzf to find systemd units (AUR)
tools,taplo-cli,TOML toolkit written in Rust
tools,taskell,CLI kanban
tools,the_silver_searcher,A fast code searching tool
tools,time,Measure time takes a specific command
tools,tmpmail-git,A temporary email right from your terminal
tools,tree,List FS in tree-like format
tools,udiskie,Automount devices
tools,unclutter,Hide the mouse after short period of time
tools,unetbootin,Create bootable Live USB drives
tools,vagrant,Build and distribute virtualized development environments
tools,virt-install,Command line tool for creating new KVM , Xen, or Linux container guests using the libvirt hypervisor
tools,virt-manager,Desktop user interface for managing virtual machines
tools,virt-viewer,A lightweight interface for interacting with the graphical display of virtualized guest OS.
tools,vlc,Multi-platform MPEG, VCD/DVD, and DivX player
tools,vnstat,A console-based network traffic monitor
tools,wabt,The WebAssembly Binary Toolkit is a suite of tools for WebAssembly
tools,wasm3-git,A high performance WebAssembly interpreter written in C
tools,wasm-pack,Your favorite rust -> wasm workflow tool!
tools,watchexec,Executes commands in response to file modifications
tools,whois,Display web domain information
tools,wireshark-git,A free network protocol analyzer for Unix/Linux. GIT version
tools,xcape,Configure modifier key
tools,xclip,CLI to Clipboard
tools,xdg-ninja,Verify files which can go to xdg config (AUR)
tools,xsel,Manipulate the X selection
tools,zk,A command-line tool helping you to maintain a Zettelkasten or personal wiki
tools,zoom,Video Conferencing and Web Conferencing Service
urxvt,rxvt-unicode,Terminal Urxvt
urxvt,urxvt-resize-font-git,Increase / decrease font size for Urxvt via keystrokes(AUR)
urxvt,urxvt-tabbedex-mina86-git,Improved tab for Urxvt (AUR)
videography,losslesscut-bin,Simple video edition (AUR)
videography,obs-studio,GUI for ffmpeg
vmware,open-vm-tools,vmware tools
vmware,xf86-input-vmmouse,vmware mouse
vmware,xf86-video-vmware,vmware video
vpn,expressvpn,Proprietary VPN client for Linux
zoom,zoxide,A smarter cd command for your terminal
zsh,zsh-completions,Additional completion definitions for Zsh
zsh,zsh-syntax-highlighting,Fish shell like syntax highlighting for Zsh
zsh,zsh,Unix shell (Z-Shell)
